star,Name,gaia_dr3,Teff,eTeff,Logg,eLogg,[Fe/H],e[Fe/H],Vt,eVt,Gmag,Plx,Distance,Mass_t,Radius_t,SWFlag,Reference,Link,Update,Database
WASP-122,WASP-122,5560886336446650240,5893.0,36.0,4.29,0.08,0.4,0.03,1.19,0.04,10.84,4.0549,246.61520629362,1.2234226244215114,1.3580096274583389,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-126,WASP-126,4666498154837086208,5746.0,20.0,4.21,0.03,0.14,0.02,1.05,0.03,11.0661,4.5933,217.708401367209,1.0376547016072606,1.1744727973629765,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-127,WASP-127,3778075717162985600,5832.0,14.0,4.31,0.03,-0.18,0.01,1.12,0.02,10.0582,6.2241,160.665799071352,1.0165315503637924,1.3594536168865732,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-12,WASP-12,3435282862461427072,6301.0,23.0,4.25,0.03,0.18,0.02,1.57,0.03,11.4986,2.4213,413.00128030396894,1.3210225707861771,1.4364373301930602,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-130,WASP-130,6112606840179716096,5655.0,25.0,4.32,0.05,0.3,0.02,0.99,0.04,10.974,5.7294,174.53834607463295,1.01494357332097,1.0276246345979,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-131,WASP-131,6173451477191225984,6138.0,18.0,4.22,0.03,-0.04,0.01,1.43,0.02,9.8734,5.1765,193.180720564088,1.210311969526769,1.5622658125162605,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-156,WASP-156,2514360548993901312,4875.0,79.0,4.13,0.2,0.15,0.04,0.57,0.19,11.321,8.2073,121.842749747176,0.7713215041859585,0.8286709654992859,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-166,WASP-166,5664957444179338240,6142.0,22.0,4.45,0.04,0.25,0.02,1.25,0.03,9.2636,8.7523,114.255681363756,1.2092600492558483,1.2341231576699825,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-178,WASP-178,6003809889735481856,9350.0,150.0,4.35,0.15,0.21,0.16,2.9,0.2,9.9158,2.4248,412.405146816232,2.227885726430646,1.6985189625264048,0,Hellier et al 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract,2020-01-17,EU;NASA
WASP-19,WASP-19,5411736896952029568,5581.0,27.0,4.38,0.06,0.24,0.02,1.23,0.04,12.1012,3.7516,266.55293741337005,0.9646912349249516,0.9616110465959008,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-20,WASP-20 A,2359978293137038720,6032.0,16.0,4.43,0.03,0.09,0.01,1.24,0.02,10.8391,3.4699,288.192743306723,1.2921329474397716,1.9861826238314453,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-31,WASP-31,3545873945303316224,6380.0,36.0,4.59,0.04,-0.08,0.03,1.58,0.05,11.8085,2.5758,388.228899759298,1.1620515918249756,1.1911564744827878,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-34,WASP-34,3537110837630877568,5692.0,11.0,4.34,0.03,0.07,0.01,0.95,0.02,10.2053,7.6211,131.214654052565,0.9795944902856352,1.0774839212477276,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-50,WASP-50,5160557726183065984,5465.0,27.0,4.39,0.06,0.17,0.02,1.06,0.04,11.5444,5.4865,182.265560922264,0.9059974146309272,0.9132368357532056,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-54,WASP-54,3661983850663908608,6216.0,19.0,4.25,0.03,-0.08,0.01,1.49,0.03,10.2481,3.9859,250.884367395068,1.2543042550223331,1.6388288442799013,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-62,WASP-62,4756649415309914240,6355.0,26.0,4.53,0.03,0.23,0.02,1.5,0.04,10.0773,5.691,175.71604287471405,1.2723769402131004,1.2254107216286432,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-74,WASP-74,4224062406762625152,6006.0,23.0,4.25,0.04,0.44,0.02,1.33,0.03,9.5783,6.69,149.476831091181,1.3010820454160033,1.4110588757097675,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
WASP-76,WASP-76,2512326349403275520,6372.0,28.0,4.28,0.04,0.38,0.02,1.6,0.03,9.4149,5.2899,189.039490349534,1.4572208511785156,1.7489276152883482,1,Sousa et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210904781S/abstract,2021-01-01,EU;NASA
