rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,berv,weight,file_rootpath
60001.791444600094,-240.025735,0.69,-0.12,3.8534,12353.122033,7.7068,-18.426017,7.7068,31.429549,0.019608,156.16618,0.387059,0.201318,0.000224,0.407345,0.000176,0.119891,0.000371,10.286713,1,ESPRE.2023-02-26T06:46:36.573.fits
60001.79778293986,-259.638775,-0.0,-0.81,3.760972,12375.58554,7.521944,10.526717,7.521944,31.456097,0.019119,155.652436,0.370337,0.201984,0.000217,0.40842,0.000171,0.119399,0.000355,10.268805,1,ESPRE.2023-02-26T06:55:50.538.fits
60001.80415266007,-274.55566,-0.7,-1.51,3.698446,12387.381211,7.396891,37.536631,7.396891,31.435158,0.018771,154.214856,0.357367,0.199868,0.000213,0.405601,0.000167,0.118022,0.000342,10.251036,1,ESPRE.2023-02-26T07:05:03.245.fits
60001.81058559986,-291.284359,-1.4,-2.21,3.668034,12345.220704,7.336069,36.930083,7.336069,31.441184,0.018684,157.882628,0.354981,0.201923,0.000211,0.407141,0.000166,0.121535,0.00034,10.233348,1,ESPRE.2023-02-26T07:14:17.012.fits
60001.8169698501,-305.739698,-2.09,-2.9,3.847705,12346.938122,7.69541,62.030003,7.69541,31.441053,0.019596,157.661865,0.389937,0.201684,0.000222,0.404997,0.000175,0.121324,0.000374,10.216073,1,ESPRE.2023-02-26T07:23:30.004.fits
60001.823424169794,-324.924598,-2.8,-3.61,4.049541,12334.935991,8.099082,52.322116,8.099082,31.477721,0.020668,155.011713,0.430167,0.200033,0.000236,0.408106,0.000187,0.118785,0.000412,10.198915,1,ESPRE.2023-02-26T07:32:42.712.fits
60001.82969318982,-332.68065,-3.48,-4.29,4.046592,12299.75723,8.093183,54.308082,8.093183,31.547998,0.020758,154.031138,0.433507,0.20065,0.000237,0.405924,0.000188,0.117846,0.000415,10.182566,1,ESPRE.2023-02-26T07:41:56.180.fits
60001.83614616003,-320.534628,-4.18,-4.99,4.237101,12281.268416,8.474202,41.520016,8.474202,31.575928,0.021788,155.606806,0.476674,0.202789,0.00025,0.40881,0.000199,0.119355,0.000457,10.166086,1,ESPRE.2023-02-26T07:51:09.454.fits
60001.8425697498,-305.642966,-4.88,-5.69,4.137005,12266.726733,8.27401,20.357422,8.27401,31.612614,0.021323,155.352853,0.458319,0.204064,0.000243,0.406634,0.000193,0.119112,0.000439,10.150055,1,ESPRE.2023-02-26T08:00:22.674.fits
60001.84909171984,-285.663053,-5.59,-6.4,3.915025,12261.950614,7.83005,15.525875,7.83005,31.608888,0.020184,155.956595,0.414626,0.202084,0.000227,0.404881,0.00018,0.11969,0.000397,10.134182,1,ESPRE.2023-02-26T08:09:35.450.fits
60001.85539011983,-277.311275,-6.28,-7.09,3.812712,12276.13093,7.625423,3.887878,7.625423,31.611038,0.019635,154.666815,0.396271,0.200524,0.000219,0.406834,0.000174,0.118455,0.00038,10.119258,1,ESPRE.2023-02-26T08:18:48.643.fits
60001.86176222982,-273.594536,-6.97,-7.79,3.79887,12263.149033,7.59774,6.571507,7.59774,31.611112,0.019585,156.780679,0.394905,0.203005,0.000219,0.405886,0.000173,0.12048,0.000378,10.104586,1,ESPRE.2023-02-26T08:28:01.357.fits
60001.86814620998,-267.069723,-7.67,-8.48,3.979853,12279.123057,7.959706,22.092745,7.959706,31.579243,0.020471,155.610385,0.432729,0.203492,0.000229,0.409355,0.000183,0.119359,0.000414,10.090334,1,ESPRE.2023-02-26T08:37:15.109.fits
60001.87455028016,-273.650658,-8.37,-9.18,3.906951,12270.070265,7.813901,9.572518,7.813901,31.551488,0.020093,156.841894,0.418573,0.203595,0.000224,0.406324,0.000178,0.120538,0.000401,10.076507,1,ESPRE.2023-02-26T08:46:28.313.fits
60001.88093471015,-279.297613,-9.06,-9.87,3.933365,12281.820294,7.866731,8.913314,7.866731,31.5886,0.020233,155.389087,0.425027,0.203066,0.000226,0.407604,0.00018,0.119147,0.000407,10.063208,1,ESPRE.2023-02-26T08:55:41.784.fits
60001.88734418014,-276.737215,-9.76,-10.57,4.070687,12290.284984,8.141374,14.493473,8.141374,31.588826,0.020925,155.630331,0.456034,0.202812,0.000234,0.409533,0.000188,0.119378,0.000437,10.050361,1,ESPRE.2023-02-26T09:04:55.071.fits
60001.893837859854,-276.417261,-10.47,-11.28,4.039569,12265.502007,8.079137,0.549609,8.079137,31.58057,0.020802,155.610026,0.455211,0.202829,0.000231,0.406639,0.000185,0.119358,0.000436,10.037877,1,ESPRE.2023-02-26T09:14:08.578.fits
