rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
58684.7427873998,-14770.5009,5.52,5.46,0.459347,8886.432535,0.918694,-27.462767,0.918694,48.358456,0.004999,167.824604,0.041251,0.193299,2.4e-05,0.381118,2e-05,0.131058,4e-05,-4.848936,0.000222,17.679824,1,ESPRE.2019-07-20T05:41:32.694.fits
58684.74553437019,-14776.046514,5.12,5.06,0.438986,8886.339044,0.877972,-26.212514,0.877972,48.356544,0.004778,168.06403,0.037802,0.193603,2.3e-05,0.381061,1.9e-05,0.131287,3.6e-05,-4.847652,0.000202,17.672353,1,ESPRE.2019-07-20T05:45:29.728.fits
58684.74827987002,-14778.46264,4.73,4.67,0.425578,8892.236021,0.851157,-24.776817,0.851157,48.319653,0.004625,168.448923,0.035426,0.193565,2.2e-05,0.381771,1.8e-05,0.131656,3.4e-05,-4.845595,0.000189,17.664852,1,ESPRE.2019-07-20T05:49:26.857.fits
58684.75101392996,-14783.161248,4.34,4.27,0.428882,8891.350676,0.857764,-26.572211,0.857764,48.318112,0.004661,168.264717,0.035979,0.193619,2.2e-05,0.381287,1.8e-05,0.13148,3.4e-05,-4.846578,0.000192,17.657349,1,ESPRE.2019-07-20T05:53:23.954.fits
58684.75374874007,-14786.52462,3.94,3.88,0.437362,8898.540636,0.874724,-23.002081,0.874724,48.29488,0.004747,168.372951,0.037311,0.193311,2.2e-05,0.381288,1.8e-05,0.131583,3.6e-05,-4.846,0.000199,17.649813,1,ESPRE.2019-07-20T05:57:21.168.fits
58684.75649829023,-14791.845078,3.55,3.48,0.43734,8900.105888,0.874681,-22.963785,0.874681,48.284521,0.004745,168.596766,0.037224,0.193127,2.2e-05,0.381072,1.8e-05,0.131798,3.6e-05,-4.844807,0.000198,17.642207,1,ESPRE.2019-07-20T06:01:18.264.fits
58684.75925099989,-14793.285291,3.15,3.09,0.447168,8898.668975,0.894335,-21.257013,0.894335,48.295259,0.004854,168.032614,0.038846,0.193419,2.3e-05,0.380531,1.9e-05,0.131257,3.7e-05,-4.84782,0.000208,17.634566,1,ESPRE.2019-07-20T06:05:15.438.fits
58684.76194301993,-14802.259151,2.76,2.7,0.445638,8903.515492,0.891277,-16.646545,0.891277,48.279125,0.004833,168.152698,0.038481,0.193372,2.3e-05,0.381036,1.9e-05,0.131372,3.7e-05,-4.847177,0.000206,17.627069,1,ESPRE.2019-07-20T06:09:10.375.fits
58684.76473787008,-14804.818738,2.36,2.3,0.439588,8899.542408,0.879176,-17.016123,0.879176,48.276998,0.004769,168.529356,0.03744,0.193053,2.3e-05,0.381119,1.9e-05,0.131733,3.6e-05,-4.845166,0.000199,17.619262,1,ESPRE.2019-07-20T06:13:07.560.fits
58684.76745897019,-14808.979161,1.97,1.91,0.427277,8904.4335,0.854553,-13.811662,0.854553,48.275385,0.004633,168.323862,0.035459,0.192954,2.2e-05,0.381249,1.8e-05,0.131536,3.4e-05,-4.846262,0.000189,17.611641,1,ESPRE.2019-07-20T06:17:04.668.fits
58684.77020834992,-14815.965062,1.57,1.51,0.424344,8899.617499,0.848688,-14.355536,0.848688,48.287854,0.004605,168.138441,0.034888,0.193031,2.2e-05,0.381119,1.8e-05,0.131359,3.3e-05,-4.847253,0.000187,17.603922,1,ESPRE.2019-07-20T06:21:01.817.fits
58684.772951240186,-14817.272697,1.18,1.12,0.422175,8897.912676,0.844349,-11.270711,0.844349,48.291258,0.004582,167.951894,0.034602,0.192625,2.1e-05,0.380647,1.7e-05,0.13118,3.3e-05,-4.848253,0.000186,17.596204,1,ESPRE.2019-07-20T06:24:58.890.fits
58684.77565876022,-14822.154042,0.79,0.73,0.428038,8892.55614,0.856077,-7.942849,0.856077,48.321151,0.004652,167.506928,0.035549,0.193456,2.2e-05,0.380629,1.8e-05,0.130754,3.4e-05,-4.850646,0.000192,17.588571,1,ESPRE.2019-07-20T06:28:53.618.fits
58684.77839571005,-14826.103218,0.4,0.33,0.43632,8889.147143,0.87264,-9.918668,0.87264,48.324093,0.004744,167.941307,0.036918,0.193648,2.2e-05,0.380551,1.8e-05,0.13117,3.5e-05,-4.848309,0.000198,17.580842,1,ESPRE.2019-07-20T06:32:50.689.fits
58684.78117890982,-14830.033487,-0.0,-0.07,0.450609,8883.652656,0.901218,-9.259976,0.901218,48.357504,0.004906,167.937081,0.039287,0.193191,2.3e-05,0.380154,1.9e-05,0.131166,3.8e-05,-4.848332,0.000211,17.572973,1,ESPRE.2019-07-20T06:36:47.864.fits
58684.78390236991,-14833.752333,-0.4,-0.46,0.447084,8880.306376,0.894169,-9.363605,0.894169,48.36591,0.00487,167.575378,0.038601,0.192959,2.3e-05,0.380434,1.9e-05,0.130819,3.7e-05,-4.850277,0.000208,17.565263,1,ESPRE.2019-07-20T06:40:44.958.fits
58684.786641980056,-14835.038837,-0.79,-0.85,0.451478,8870.864735,0.902956,-9.811366,0.902956,48.409302,0.004928,168.221393,0.039374,0.193187,2.4e-05,0.380595,1.9e-05,0.131438,3.8e-05,-4.84681,0.00021,17.557502,1,ESPRE.2019-07-20T06:44:42.150.fits
58684.78938338999,-14838.923622,-1.18,-1.25,0.451238,8865.228895,0.902475,-9.424363,0.902475,48.426399,0.00493,167.715366,0.039322,0.193015,2.4e-05,0.380192,1.9e-05,0.130953,3.8e-05,-4.849523,0.000212,17.549731,1,ESPRE.2019-07-20T06:48:39.300.fits
58684.79208265012,-14839.56936,-1.57,-1.64,0.460115,8861.294072,0.920231,-10.723774,0.920231,48.462113,0.005033,168.193967,0.041094,0.193224,2.4e-05,0.380869,2e-05,0.131412,3.9e-05,-4.846956,0.00022,17.542077,1,ESPRE.2019-07-20T06:52:34.090.fits
58684.79486150993,-14844.738065,-1.97,-2.04,0.450041,8855.218395,0.900081,-14.445155,0.900081,48.482667,0.004928,167.593798,0.039401,0.193105,2.4e-05,0.380781,1.9e-05,0.130837,3.8e-05,-4.850178,0.000212,17.534197,1,ESPRE.2019-07-20T06:56:31.232.fits
58684.79758716002,-14844.883494,-2.36,-2.43,0.449036,8850.226158,0.898072,-14.297833,0.898072,48.504441,0.004922,167.838275,0.03919,0.193519,2.4e-05,0.380798,1.9e-05,0.131071,3.8e-05,-4.848863,0.000211,17.52647,1,ESPRE.2019-07-20T07:00:28.376.fits
58684.80035061017,-14845.964043,-2.76,-2.83,0.453255,8846.560032,0.90651,-17.449648,0.90651,48.517973,0.004972,167.583057,0.039897,0.193289,2.4e-05,0.380911,2e-05,0.130827,3.8e-05,-4.850236,0.000215,17.518639,1,ESPRE.2019-07-20T07:04:25.443.fits
58684.80306251999,-14846.321682,-3.15,-3.22,0.455219,8834.749602,0.910437,-18.589738,0.910437,48.56131,0.005004,168.052729,0.04038,0.193511,2.4e-05,0.381126,2e-05,0.131277,3.9e-05,-4.847712,0.000216,17.510961,1,ESPRE.2019-07-20T07:08:20.357.fits
