rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59522.63259261986,1292.632851,1.28,1.94,1.520461,9090.74945,3.040922,59.585209,3.040922,49.558614,0.016578,177.613112,0.291451,0.200304,0.000145,0.348709,0.000115,0.140434,0.000279,-4.827365,0.00139,-20.460646,1,ESPRE.2021-11-04T03:01:51.180.fits
59522.63680981984,1293.891558,1.03,1.68,1.54714,9096.241883,3.094281,56.960475,3.094281,49.533616,0.01685,178.333328,0.301748,0.201519,0.000148,0.347563,0.000117,0.141124,0.000289,-4.823943,0.001428,-20.471977,1,ESPRE.2021-11-04T03:07:50.752.fits
59522.64094521012,1290.462008,0.78,1.43,1.490595,9098.888341,2.98119,62.447935,2.98119,49.5319,0.016229,180.607026,0.280203,0.201685,0.000142,0.347586,0.000112,0.143302,0.000268,-4.813316,0.001294,-20.483018,1,ESPRE.2021-11-04T03:13:50.333.fits
59522.645123450086,1290.856533,0.53,1.18,1.50768,9104.94931,3.015361,55.707438,3.015361,49.464196,0.016381,178.828992,0.284139,0.201787,0.000143,0.346555,0.000113,0.141599,0.000272,-4.821604,0.001337,-20.494095,1,ESPRE.2021-11-04T03:19:52.444.fits
59522.649303509854,1294.819548,0.27,0.93,1.538238,9110.474795,3.076476,53.491563,3.076476,49.391976,0.016679,178.093373,0.295126,0.199208,0.000146,0.348021,0.000116,0.140894,0.000283,-4.82508,0.0014,-20.505092,1,ESPRE.2021-11-04T03:25:52.347.fits
59522.65344899986,1289.760156,0.02,0.68,1.628396,9123.485732,3.256792,52.086299,3.256792,49.424767,0.017643,181.102549,0.33256,0.200921,0.000157,0.348102,0.000125,0.143776,0.000319,-4.811033,0.001528,-20.515908,1,ESPRE.2021-11-04T03:31:54.477.fits
59522.65768860001,1288.742287,-0.23,0.42,1.580038,9127.925695,3.160075,57.406883,3.160075,49.349581,0.017085,180.274341,0.310433,0.200458,0.000151,0.347973,0.000119,0.142983,0.000297,-4.814854,0.001438,-20.526868,1,ESPRE.2021-11-04T03:37:56.656.fits
59522.66183057986,1283.722238,-0.48,0.17,1.597187,9125.28155,3.194373,55.803536,3.194373,49.352825,0.017276,179.237534,0.318246,0.200538,0.000153,0.348306,0.000121,0.14199,0.000305,-4.819686,0.001491,-20.537473,1,ESPRE.2021-11-04T03:43:58.760.fits
59522.66605297988,1276.444691,-0.74,-0.09,1.55251,9132.593118,3.105019,55.123858,3.105019,49.370489,0.016786,179.524482,0.301349,0.201094,0.000147,0.347305,0.000117,0.142265,0.000289,-4.818343,0.001408,-20.54817,1,ESPRE.2021-11-04T03:49:58.458.fits
59522.67020811979,1278.661228,-0.99,-0.34,1.577157,9128.06431,3.154314,62.748614,3.154314,49.374218,0.017062,178.399245,0.311508,0.200133,0.00015,0.347455,0.000119,0.141187,0.000298,-4.823631,0.001473,-20.55858,1,ESPRE.2021-11-04T03:55:58.015.fits
